ID do Ponto;ID do Merchant;Merchant Category Code (MCC);NUIB do Merchant;Tipo de POS;Código do Distrito;Latitude;Longitude;Estado do POS;Data de última actualização do Estado
BCO03POS0000001;BCO03MER0000001;5691;43509706351;01;0319;-22.8920;31.1179;01;31-05-2025
BCO03POS0000002;BCO03MER0000002;5411;48509341916;01;0210;-10.6493;33.8333;01;16-09-2025
BCO03POS0000003;BCO03MER0000003;5812;84821585830;02;1008;-10.4197;30.1115;01;29-11-2025
BCO03POS0000004;BCO03MER0000004;4814;79847257244;01;0506;-21.7506;37.9441;01;11-08-2025
BCO03POS0000005;BCO03MER0000005;9399;79781681504;01;1008;-24.0780;32.1554;01;25-07-2025
BCO03POS0000006;BCO03MER0000006;5812;05910569965;01;0508;-21.3780;33.8615;01;15-02-2025
BCO03POS0000007;BCO03MER0000007;4814;07477936288;01;0712;-16.3887;38.7780;01;16-07-2025
BCO03POS0000008;BCO03MER0000008;5411;76914830084;01;0706;-22.3602;36.0142;01;18-04-2025
BCO03POS0000009;BCO03MER0000009;4111;97333094087;01;0808;-17.7724;36.8395;01;23-05-2025
BCO03POS0000010;BCO03MER0000010;5912;93209081661;01;1004;-23.0118;35.6702;01;09-02-2025
BCO03POS0000011;BCO03MER0000011;5411;41857367686;01;0806;-16.4290;36.5121;01;23-02-2025
BCO03POS0000012;BCO03MER0000012;5411;30715109106;01;1006;-18.3564;30.5413;01;29-01-2025
BCO03POS0000013;BCO03MER0000013;9399;18948736970;01;0322;-18.1733;37.1202;01;17-03-2025
BCO03POS0000014;BCO03MER0000014;9399;05197019071;01;0401;-10.6803;31.0295;01;20-02-2025
BCO03POS0000015;BCO03MER0000015;5411;13062256802;01;0306;-20.9330;37.3454;01;12-10-2025
BCO03POS0000016;BCO03MER0000016;4111;31489807753;02;0703;-23.4619;37.7725;02;16-10-2025
BCO03POS0000017;BCO03MER0000017;9399;20194424807;02;0701;-14.4850;39.9019;01;09-08-2025
BCO03POS0000018;BCO03MER0000018;5812;34648061854;01;0610;-20.8078;36.9489;01;19-02-2025
BCO03POS0000019;BCO03MER0000019;4111;52515167009;01;0101;-21.4558;30.5161;01;18-05-2025
BCO03POS0000020;BCO03MER0000020;7011;33669822121;01;0513;-13.5709;37.7645;01;21-07-2025
BCO03POS0000021;BCO03MER0000021;5912;30767927758;01;0512;-14.9711;30.0468;01;30-08-2025
BCO03POS0000022;BCO03MER0000022;4814;48298628813;01;0410;-10.0391;31.7777;01;31-03-2025
BCO03POS0000023;BCO03MER0000023;9399;73843520694;02;0702;-24.8034;37.9520;01;19-07-2025
BCO03POS0000024;BCO03MER0000024;5912;31704061903;01;0707;-19.4582;36.6328;01;18-04-2025
BCO03POS0000025;BCO03MER0000025;4814;75650252708;01;0211;-15.0273;39.8857;01;14-07-2025
BCO03POS0000026;BCO03MER0000026;5411;53996817034;02;0705;-16.7974;38.3823;01;02-08-2025
BCO03POS0000027;BCO03MER0000027;5912;29997485408;02;0205;-14.2759;39.8215;01;19-10-2025
BCO03POS0000028;BCO03MER0000028;4111;49328319295;01;0311;-21.2727;30.1812;01;02-05-2025
BCO03POS0000029;BCO03MER0000029;5732;39871365660;01;0703;-17.3546;34.7566;01;19-06-2025
BCO03POS0000030;BCO03MER0000030;4111;47698296487;01;0206;-13.4853;31.9206;01;17-09-2025
BCO03POS0000031;BCO03MER0000031;4814;46745981452;01;0316;-15.1268;35.2566;01;06-10-2025
BCO03POS0000032;BCO03MER0000032;5691;82979895527;02;0418;-19.2262;31.5203;01;09-04-2025
BCO03POS0000033;BCO03MER0000033;4111;15620206166;01;1002;-22.4032;31.8308;01;02-10-2025
BCO03POS0000034;BCO03MER0000034;5541;37609641421;02;0913;-19.9269;34.8064;01;04-04-2025
BCO03POS0000035;BCO03MER0000035;4111;89197356431;02;0912;-19.2150;31.7607;01;13-12-2025
BCO03POS0000036;BCO03MER0000036;4814;25459506371;01;1006;-19.2195;34.9392;01;08-07-2025
BCO03POS0000037;BCO03MER0000037;4111;09124953604;01;1004;-24.7915;36.3770;01;30-03-2025
BCO03POS0000038;BCO03MER0000038;5691;20280174967;01;0701;-15.9107;37.3639;01;16-10-2025
BCO03POS0000039;BCO03MER0000039;5691;61018809255;01;0408;-22.7655;30.7351;01;12-05-2025
BCO03POS0000040;BCO03MER0000040;4111;25156483788;01;0908;-20.6681;37.9843;01;26-02-2025
BCO03POS0000041;BCO03MER0000041;4111;75048019061;01;0311;-17.0178;36.6005;01;01-07-2025
BCO03POS0000042;BCO03MER0000042;4111;50766377561;02;0701;-16.5001;34.8624;01;11-02-2025
BCO03POS0000043;BCO03MER0000043;4814;43444156108;01;0514;-19.7676;39.7864;01;06-12-2025
BCO03POS0000044;BCO03MER0000044;5691;31252879810;01;0708;-13.1699;37.0513;01;03-08-2025
BCO03POS0000045;BCO03MER0000045;5812;54207035717;01;0319;-17.7293;30.2685;01;28-09-2025
BCO03POS0000046;BCO03MER0000046;4111;70357346829;01;0602;-15.4776;39.3684;01;12-02-2025
BCO03POS0000047;BCO03MER0000047;5411;72354248416;01;1006;-11.6443;38.7984;01;23-11-2025
BCO03POS0000048;BCO03MER0000048;5691;72279786782;01;0111;-19.5095;30.9077;01;30-10-2025
BCO03POS0000049;BCO03MER0000049;9399;54642469749;01;0713;-22.5234;31.7951;01;28-11-2025
BCO03POS0000050;BCO03MER0000050;5541;62384962454;01;0306;-21.3035;34.3713;01;05-05-2025
BCO03POS0000051;BCO03MER0000051;5691;48416616577;01;1004;-12.9161;35.9938;01;22-03-2025
BCO03POS0000052;BCO03MER0000052;9399;99663940084;01;0609;-20.0133;30.5452;01;04-05-2025
BCO03POS0000053;BCO03MER0000053;5411;58093012208;01;1006;-16.8571;37.5342;01;23-03-2025
BCO03POS0000054;BCO03MER0000054;5541;35652920017;01;0502;-20.1582;32.4725;03;29-05-2025
BCO03POS0000055;BCO03MER0000055;5411;25894945448;01;0303;-18.6051;38.0144;01;17-09-2025
BCO03POS0000056;BCO03MER0000056;5411;38775309405;01;0320;-10.9638;35.7018;01;13-04-2025
BCO03POS0000057;BCO03MER0000057;4814;93550045911;01;0213;-17.1315;31.2153;01;12-09-2025
BCO03POS0000058;BCO03MER0000058;5691;70770110307;01;0908;-24.8482;33.6178;01;25-08-2025
BCO03POS0000059;BCO03MER0000059;4111;07540981233;01;0703;-11.3256;37.4016;01;21-04-2025
BCO03POS0000060;BCO03MER0000060;4814;19732556380;01;0708;-17.4975;36.6057;01;18-06-2025
BCO03POS0000061;BCO03MER0000061;7011;27979049664;02;0701;-16.8221;37.7233;01;16-08-2025
BCO03POS0000062;BCO03MER0000062;4111;11322811156;02;0704;-21.0723;34.8610;01;12-07-2025
BCO03POS0000063;BCO03MER0000063;5411;72354248416;01;1006;-13.6497;33.5564;01;21-03-2025
BCO03POS0000064;BCO03MER0000064;9399;65643291395;01;0608;-24.1113;37.3906;01;21-03-2025
BCO03POS0000065;BCO03MER0000065;5411;41454702301;01;0104;-16.0586;33.7791;01;18-11-2025
BCO03POS0000066;BCO03MER0000066;5912;63133018416;01;0206;-24.5155;32.9880;01;18-11-2025
BCO03POS0000067;BCO03MER0000067;5812;05313878274;01;1006;-23.7792;33.9865;01;24-07-2025
BCO03POS0000068;BCO03MER0000068;4814;67018661613;01;0309;-10.9882;33.6132;01;16-06-2025
BCO03POS0000069;BCO03MER0000069;9399;66333814987;01;0706;-21.6846;36.8655;01;29-03-2025
BCO03POS0000070;BCO03MER0000070;5691;95602559839;01;0401;-13.3721;30.1788;01;28-05-2025
BCO03POS0000071;BCO03MER0000071;5411;38038385998;01;1006;-15.7275;33.7918;01;25-07-2025
BCO03POS0000072;BCO03MER0000072;5732;26017771961;01;0104;-16.8744;30.0397;01;02-09-2025
BCO03POS0000073;BCO03MER0000073;7011;24027616255;02;0604;-13.2969;36.0527;01;03-02-2025
BCO03POS0000074;BCO03MER0000074;5411;22150563762;01;0204;-17.7365;36.0190;01;21-10-2025
BCO03POS0000075;BCO03MER0000075;5411;67870920534;01;0403;-23.7839;37.9322;02;22-05-2025
BCO03POS0000076;BCO03MER0000076;5812;14099979970;01;0301;-17.2690;38.4889;01;02-09-2025
BCO03POS0000077;BCO03MER0000077;5912;56664292117;01;0214;-11.3059;32.2221;01;09-11-2025
BCO03POS0000078;BCO03MER0000078;5691;13982024388;02;1005;-15.5900;36.9260;01;19-04-2025
BCO03POS0000079;BCO03MER0000079;5812;37593573840;01;0605;-23.8760;31.9435;01;23-02-2025
BCO03POS0000080;BCO03MER0000080;5411;96375917073;01;0103;-25.1813;33.7683;01;22-04-2025
BCO03POS0000081;BCO03MER0000081;9399;82751946885;01;0706;-11.3477;39.7502;01;09-11-2025
BCO03POS0000082;BCO03MER0000082;4814;77097580486;01;0308;-25.9641;31.4234;01;12-02-2025
BCO03POS0000083;BCO03MER0000083;5812;65765578988;01;0803;-12.7507;34.6993;01;06-03-2025
BCO03POS0000084;BCO03MER0000084;5812;28655081959;01;1006;-25.5794;30.8493;01;07-06-2025
BCO03POS0000085;BCO03MER0000085;5411;75033736828;01;1005;-18.0385;30.6881;01;01-04-2025
BCO03POS0000086;BCO03MER0000086;5691;41069203782;02;0422;-14.6142;33.8043;01;29-04-2025
BCO03POS0000087;BCO03MER0000087;5691;76249213288;01;0605;-25.0864;30.6331;01;19-08-2025
BCO03POS0000088;BCO03MER0000088;7011;64266155806;01;0403;-14.5660;38.9756;01;15-08-2025
BCO03POS0000089;BCO03MER0000089;5912;41798078646;01;0514;-18.7590;34.8414;01;10-09-2025
BCO03POS0000090;BCO03MER0000090;5812;17928516870;01;0307;-25.3684;30.7077;01;10-06-2025
BCO03POS0000091;BCO03MER0000091;9399;35145797413;01;0314;-15.1357;38.6056;01;28-07-2025
BCO03POS0000092;BCO03MER0000092;4111;12255267741;01;1003;-18.0260;37.6414;01;05-07-2025
BCO03POS0000093;BCO03MER0000093;5812;04507999734;01;0711;-15.7795;33.0368;01;07-04-2025
BCO03POS0000094;BCO03MER0000094;5411;65705078646;01;0314;-16.7957;35.5770;02;16-12-2025
BCO03POS0000095;BCO03MER0000095;4814;08804611449;01;0805;-17.7934;31.6063;01;15-01-2025
BCO03POS0000096;BCO03MER0000096;5691;82350036109;01;0212;-19.8694;38.4542;01;03-03-2025
BCO03POS0000097;BCO03MER0000097;5411;24679282729;01;0902;-17.4376;35.9683;01;13-12-2025
BCO03POS0000098;BCO03MER0000098;5411;79120147058;01;0905;-11.0214;35.2133;01;07-10-2025
BCO03POS0000099;BCO03MER0000099;5812;18396607026;01;1004;-22.0085;35.1916;01;24-05-2025
BCO03POS0000100;BCO03MER0000100;9399;08433406321;01;1007;-20.7733;33.3239;01;04-09-2025
BCO03POS0000101;BCO03MER0000101;9399;07796566404;01;0114;-15.2439;36.3069;01;17-05-2025
BCO03POS0000102;BCO03MER0000102;5992;56797222747;01;0509;-11.1849;33.0904;01;26-08-2025
BCO03POS0000103;BCO03MER0000103;4814;50602115404;01;0319;-24.4149;38.4997;01;06-05-2025
BCO03POS0000104;BCO03MER0000104;5812;84137952964;01;1004;-11.0074;37.9824;03;03-04-2025
BCO03POS0000105;BCO03MER0000105;5812;53902468619;01;0213;-22.3191;38.7582;01;31-07-2025
BCO03POS0000106;BCO03MER0000106;5812;69039904890;01;0312;-20.0978;32.3000;01;23-05-2025
BCO03POS0000107;BCO03MER0000107;5541;08544147033;01;0306;-18.7029;37.3662;03;17-05-2025
BCO03POS0000108;BCO03MER0000108;5411;41857367686;01;0806;-11.5310;36.4223;01;09-01-2025
BCO03POS0000109;BCO03MER0000109;5541;93254703144;01;0511;-24.2307;34.9308;01;22-06-2025
BCO03POS0000110;BCO03MER0000110;5411;99969849549;01;0308;-14.3638;34.8593;01;13-12-2025
BCO03POS0000111;BCO03MER0000111;5812;06379465368;02;0708;-21.4777;30.5323;01;07-01-2025
BCO03POS0000112;BCO03MER0000112;9399;77530436041;01;0303;-17.2251;36.8802;01;25-05-2025
BCO03POS0000113;BCO03MER0000113;4111;09154013460;01;0213;-14.7278;32.9927;01;12-02-2025
BCO03POS0000114;BCO03MER0000114;5812;09423187582;01;0612;-10.6604;38.2543;01;25-07-2025
BCO03POS0000115;BCO03MER0000115;7011;41941490683;01;0301;-22.4423;34.1810;01;01-07-2025
BCO03POS0000116;BCO03MER0000116;4814;83081260404;01;0701;-18.0383;30.1118;01;13-08-2025
BCO03POS0000117;BCO03MER0000117;5541;05084274919;01;0107;-19.0656;36.6894;01;24-03-2025
BCO03POS0000118;BCO03MER0000118;4111;39290620689;02;0213;-24.5696;34.1214;01;17-09-2025
BCO03POS0000119;BCO03MER0000119;9399;09692132419;01;0406;-12.7411;38.8306;01;03-03-2025
BCO03POS0000120;BCO03MER0000120;5691;57968274731;01;0506;-16.2037;38.9030;01;29-09-2025
BCO03POS0000121;BCO03MER0000121;4111;99206026187;02;0706;-25.6973;33.1521;01;23-06-2025
BCO03POS0000122;BCO03MER0000122;5992;80282017802;01;0420;-25.8978;30.5386;02;28-02-2025
BCO03POS0000123;BCO03MER0000123;5691;06428309055;01;0412;-13.8774;36.1763;01;05-10-2025
BCO03POS0000124;BCO03MER0000124;5812;14608154424;01;0203;-21.5678;32.9618;01;28-04-2025
BCO03POS0000125;BCO03MER0000125;5411;65987787144;01;0608;-23.1020;36.3172;01;19-06-2025
BCO03POS0000126;BCO03MER0000126;5812;00371555890;01;0204;-14.4711;33.7213;04;25-09-2025
BCO03POS0000127;BCO03MER0000127;7011;73812703699;01;0902;-11.3978;34.0639;01;17-03-2025
BCO03POS0000128;BCO03MER0000128;4111;88971233276;01;0311;-24.8916;37.9928;01;16-01-2025
BCO03POS0000129;BCO03MER0000129;5812;61577085149;01;0202;-14.1009;39.6902;03;15-09-2025
BCO03POS0000130;BCO03MER0000130;4111;99206026187;01;0706;-23.6822;36.8689;01;05-08-2025
BCO03POS0000131;BCO03MER0000131;4111;91110987419;01;0514;-20.2654;36.5601;01;27-11-2025
BCO03POS0000132;BCO03MER0000132;5812;29891738741;02;0708;-22.7057;31.0981;01;13-10-2025
BCO03POS0000133;BCO03MER0000133;5411;88772345954;01;0803;-22.3345;34.6694;02;05-07-2025
BCO03POS0000134;BCO03MER0000134;7011;29143934179;01;0413;-17.9845;38.9835;01;10-02-2025
BCO03POS0000135;BCO03MER0000135;5691;85748683973;02;0318;-17.4226;32.8334;01;25-11-2025
BCO03POS0000136;BCO03MER0000136;4111;88098019027;01;0902;-21.1465;32.5059;01;03-12-2025
BCO03POS0000137;BCO03MER0000137;4111;39352140540;01;0301;-12.7118;32.8041;01;26-04-2025
BCO03POS0000138;BCO03MER0000138;7011;49747857068;01;0713;-17.3061;35.1543;01;25-09-2025
