ID do Ponto;ID do Merchant;Merchant Category Code (MCC);NUIB do Merchant;Tipo de POS;Código do Distrito;Latitude;Longitude;Estado do POS;Data de última actualização do Estado
BCO05POS0000001;BCO05MER0000001;5541;03566445394;02;0317;-18.5599;38.3183;01;31-10-2025
BCO05POS0000002;BCO05MER0000002;5912;60453598478;01;0317;-12.5626;35.4675;01;04-05-2025
BCO05POS0000003;BCO05MER0000003;4111;94010930229;01;0417;-16.7959;34.5720;01;27-02-2025
BCO05POS0000004;BCO05MER0000004;4111;32895296932;01;0707;-25.9915;38.0245;01;14-02-2025
BCO05POS0000005;BCO05MER0000005;5912;80386203828;01;0505;-25.1317;36.6474;01;27-07-2025
BCO05POS0000006;BCO05MER0000006;5541;89805473872;01;0705;-14.5970;37.4620;01;20-08-2025
BCO05POS0000007;BCO05MER0000007;5812;89640244906;01;0303;-21.1950;31.6507;01;28-05-2025
BCO05POS0000008;BCO05MER0000008;5691;08181748681;01;0703;-13.8238;36.5203;01;28-01-2025
BCO05POS0000009;BCO05MER0000009;5812;51690671597;01;0510;-23.9013;36.6557;01;04-03-2025
BCO05POS0000010;BCO05MER0000010;5411;53284375628;01;0207;-18.7288;36.0555;01;16-12-2025
BCO05POS0000011;BCO05MER0000011;5992;70192296637;01;1004;-22.9036;33.3177;01;03-02-2025
BCO05POS0000012;BCO05MER0000012;5912;68239684564;01;0321;-10.5302;31.0904;01;07-07-2025
BCO05POS0000013;BCO05MER0000013;5812;14922741206;02;0303;-19.4612;30.3735;01;16-05-2025
BCO05POS0000014;BCO05MER0000014;5812;89665451501;01;0901;-25.7055;31.8506;01;26-02-2025
BCO05POS0000015;BCO05MER0000015;4111;46602482281;01;0604;-11.6912;34.0686;01;03-05-2025
BCO05POS0000016;BCO05MER0000016;5691;87480346086;01;0418;-19.6009;37.7696;01;29-03-2025
BCO05POS0000017;BCO05MER0000017;4111;53330361229;01;0708;-17.5097;39.8183;01;14-04-2025
BCO05POS0000018;BCO05MER0000018;9399;72876540022;01;0308;-13.5683;39.7847;01;26-03-2025
BCO05POS0000019;BCO05MER0000019;5691;00049116715;02;1006;-25.6922;30.7036;01;07-04-2025
BCO05POS0000020;BCO05MER0000020;7011;77655462528;02;0513;-11.3287;36.8512;01;18-01-2025
BCO05POS0000021;BCO05MER0000021;4111;68820703187;01;0711;-19.1374;32.6910;03;08-03-2025
BCO05POS0000022;BCO05MER0000022;5411;27506037055;02;0212;-25.4450;31.0902;01;15-10-2025
BCO05POS0000023;BCO05MER0000023;5691;37622277267;01;0318;-15.5500;30.4349;01;03-11-2025
BCO05POS0000024;BCO05MER0000024;5691;39444079972;01;0804;-11.2919;33.4592;01;03-07-2025
BCO05POS0000025;BCO05MER0000025;5411;72905251987;01;0204;-16.3812;31.9697;01;28-06-2025
BCO05POS0000026;BCO05MER0000026;5912;76505564632;01;0612;-19.8179;32.4215;01;19-10-2025
BCO05POS0000027;BCO05MER0000027;5411;60934930048;01;0317;-13.9553;31.3920;01;18-01-2025
BCO05POS0000028;BCO05MER0000028;5812;72876540022;01;0308;-22.4875;34.3727;01;24-11-2025
BCO05POS0000029;BCO05MER0000029;5411;96042689779;01;0302;-23.8246;31.3650;01;07-08-2025
BCO05POS0000030;BCO05MER0000030;5411;87469965165;01;0302;-21.4512;36.2431;01;27-11-2025
BCO05POS0000031;BCO05MER0000031;4814;50382755871;01;0710;-18.3668;35.9888;01;10-11-2025
BCO05POS0000032;BCO05MER0000032;5691;58002980974;01;1007;-11.7895;35.9672;01;30-05-2025
BCO05POS0000033;BCO05MER0000033;9399;99296866866;01;0703;-14.0200;38.1995;01;14-11-2025
BCO05POS0000034;BCO05MER0000034;5411;03724151458;01;0318;-13.0636;32.9802;01;01-05-2025
