ID do Ponto;ID do Merchant;Merchant Category Code (MCC);NUIB do Merchant;Tipo de POS;Código do Distrito;Latitude;Longitude;Estado do POS;Data de última actualização do Estado
BCO10POS0000001;BCO10MER0000001;5992;66857190453;01;0707;-10.2686;36.3150;03;18-10-2025
BCO10POS0000002;BCO10MER0000002;4814;95341441176;01;0710;-24.6616;39.0613;01;05-01-2025
BCO10POS0000003;BCO10MER0000003;5411;11314747961;01;0213;-10.4723;35.9592;01;05-01-2025
BCO10POS0000004;BCO10MER0000004;5732;10928125352;01;0903;-13.4640;38.7360;01;17-07-2025
BCO10POS0000005;BCO10MER0000005;5812;22029232470;01;0707;-23.1518;30.4439;01;16-07-2025
BCO10POS0000006;BCO10MER0000006;5411;09219894033;01;0508;-16.8535;31.8022;01;25-04-2025
BCO10POS0000007;BCO10MER0000007;9399;58333745207;01;0702;-15.5082;30.4148;01;26-01-2025
BCO10POS0000008;BCO10MER0000008;9399;60563059306;01;0311;-19.0490;33.6457;01;23-06-2025
BCO10POS0000009;BCO10MER0000009;5411;44940285709;01;0811;-24.6736;37.8495;01;04-09-2025
BCO10POS0000010;BCO10MER0000010;5691;59080112443;01;1004;-12.2695;30.9124;02;31-08-2025
BCO10POS0000011;BCO10MER0000011;7011;52133916311;01;0805;-18.2019;37.2415;01;07-09-2025
BCO10POS0000012;BCO10MER0000012;5812;64892965596;01;0901;-17.1160;34.2495;01;16-02-2025
BCO10POS0000013;BCO10MER0000013;5912;36956922513;01;0323;-11.9157;35.5609;01;04-01-2025
BCO10POS0000014;BCO10MER0000014;5411;20803083362;01;0609;-24.4012;37.4370;01;15-08-2025
BCO10POS0000015;BCO10MER0000015;4814;42398916059;01;1002;-17.7912;33.7299;01;07-09-2025
BCO10POS0000016;BCO10MER0000016;5691;73805455615;01;1007;-22.8362;34.7930;04;11-04-2025
BCO10POS0000017;BCO10MER0000017;5992;21841886577;01;0607;-15.0007;34.3366;01;08-01-2025
BCO10POS0000018;BCO10MER0000018;5912;35262766720;01;0405;-15.4811;32.9089;01;04-01-2025
BCO10POS0000019;BCO10MER0000019;5541;74979216226;01;0104;-12.2364;34.9907;01;05-12-2025
BCO10POS0000020;BCO10MER0000020;9399;95341441176;01;0710;-14.3517;38.5195;01;17-07-2025
BCO10POS0000021;BCO10MER0000021;7011;13979021250;01;0703;-18.3895;36.3078;02;07-01-2025
